2015/05/02,    8,   90,   20,   40
2015/05/02,    9,  110,   20,   50
2015/05/02,   10,  110,   20,   50
2015/05/02,   11,   40,   20,   50
2015/05/02,   12,   70,   20,   50
2015/05/02,   13,   70,   20,   50
2015/05/02,   14,  100,   20,   50
2015/05/02,   15,   80,   30,   60
2015/05/02,   16,   60,   40,   90
2015/05/02,   17,   80,   50,   80
2015/05/02,   18,   70,   50,   80
2015/05/02,   19,   70,   50,   80
2015/05/02,   20,   60,   40,   70
2015/05/03,    8,  110,   50,   70
2015/05/03,    9,  140,   50,   80
2015/05/03,   10,  150,   50,   90
2015/05/03,   11,  150,   60,  100
2015/05/03,   12,  170,   60,  100
2015/05/03,   13,  170,   60,   90
2015/05/03,   14,  180,   60,  100
2015/05/03,   15,  190,   60,  110
2015/05/03,   16,  230,   70,  110
2015/05/03,   17,  230,   80,  150
2015/05/03,   18,  230,   90,  160
2015/05/03,   19,  230,   90,  150
2015/05/03,   20,  220,   90,  160
